# len mean stddev nelemen
2 222.11 87.39 18
3 348.96 563.55 226
4 248.46 232.13 294
5 258.96 268.33 338
6 299.56 456.04 633
7 245.71 180.53 887
8 317.41 435.15 678
9 343.74 395.23 662
10 380.45 421.97 702
11 395.44 472.14 770
12 509.96 553.00 726
13 604.34 541.33 590
14 655.66 761.90 792
15 718.09 803.69 749
16 728.42 650.02 666
17 780.94 844.36 716
18 791.53 639.55 648
19 813.14 687.92 604
20 828.08 715.29 608
21 815.45 711.01 559
22 783.69 732.46 475
23 779.05 514.53 424
24 870.38 1223.96 357
25 779.18 599.21 338
26 689.49 587.08 292
27 716.35 576.85 260
28 636.62 488.17 234
29 608.13 512.42 209
30 527.86 549.75 240
31 449.16 490.96 205
32 472.44 530.62 180
33 383.30 409.74 196
34 420.40 500.64 196
35 407.03 480.16 188
36 353.21 302.59 155
37 329.21 197.28 164
38 338.07 347.24 134
39 334.42 216.39 149
40 356.84 323.33 115
41 313.89 98.63 140
42 375.15 442.58 75
43 356.98 365.55 111
44 349.14 346.74 81
45 377.89 551.31 138
46 315.10 279.63 104
47 348.89 449.25 93
48 341.97 329.04 67
49 393.61 741.81 41
50 330.31 154.33 54
51 281.16 79.19 38
52 342.96 143.82 45
53 668.42 1325.03 36
54 309.07 103.11 15
55 361.55 123.07 22
56 332.33 67.82 6
57 273.38 62.74 8
58 490.77 796.54 13
59 225.25 25.85 4
60 276.75 27.26 4
61 362.00 0.00 1
63 270.00 0.00 1
