# len mean stddev nelemen
2 347.39 574.04 18
3 234.55 213.68 226
4 264.22 330.15 294
5 236.17 246.48 338
6 269.93 312.03 633
7 265.73 986.30 887
8 325.04 554.86 678
9 375.87 561.03 662
10 393.99 481.02 702
11 421.28 653.40 770
12 496.51 517.93 726
13 615.73 621.69 590
14 655.46 620.61 792
15 731.26 756.66 749
16 806.93 1161.68 666
17 815.98 763.96 716
18 869.19 1344.57 648
19 824.39 761.19 604
20 794.09 683.51 608
21 839.78 646.94 559
22 842.06 712.38 475
23 782.05 553.17 424
24 835.87 621.52 357
25 776.77 654.41 338
26 831.07 1141.10 292
27 767.27 697.95 260
28 736.82 781.57 234
29 682.35 757.56 209
30 557.59 517.39 240
31 524.85 581.78 205
32 504.66 489.82 180
33 436.24 407.96 196
34 401.19 349.04 196
35 437.53 422.94 188
36 358.83 171.18 155
37 413.82 420.00 164
38 379.99 323.50 134
39 452.56 605.06 149
40 359.04 314.34 115
41 367.59 252.12 140
42 385.48 333.77 75
43 426.97 462.27 111
44 359.30 277.13 81
45 368.41 334.56 138
46 334.40 82.51 104
47 342.38 257.45 93
48 406.24 318.80 67
49 320.15 71.16 41
50 351.26 110.00 54
51 335.58 85.88 38
52 421.04 349.19 45
53 351.08 108.26 36
54 368.73 108.98 15
55 381.64 87.21 22
56 360.83 106.67 6
57 955.25 1143.03 8
58 356.38 44.97 13
59 310.75 32.05 4
60 380.75 45.12 4
61 272.00 0.00 1
63 412.00 0.00 1
