# len mean stddev nelemen
2 226.17 48.56 18
3 256.17 102.30 226
4 281.67 339.78 294
5 259.43 172.24 338
6 302.00 338.33 633
7 287.67 352.56 887
8 319.96 517.94 678
9 381.04 456.73 662
10 396.83 467.35 702
11 428.69 967.15 770
12 533.18 682.17 726
13 621.27 571.71 590
14 612.09 491.19 792
15 780.99 1265.68 749
16 744.64 609.21 666
17 792.08 682.46 716
18 778.59 531.84 648
19 778.58 580.75 604
20 794.42 703.85 608
21 895.29 1310.74 559
22 812.57 646.88 475
23 805.13 709.26 424
24 770.76 492.87 357
25 847.37 1064.98 338
26 781.21 967.77 292
27 820.22 976.06 260
28 746.34 928.56 234
29 684.73 1078.91 209
30 521.34 495.66 240
31 429.76 300.05 205
32 488.59 473.53 180
33 481.05 639.35 196
34 413.50 368.19 196
35 442.60 424.61 188
36 408.99 378.35 155
37 388.11 315.27 164
38 434.57 579.62 134
39 366.13 245.64 149
40 373.44 286.85 115
41 372.54 272.72 140
42 388.85 324.03 75
43 330.36 100.29 111
44 402.75 387.98 81
45 310.99 88.56 138
46 336.62 91.57 104
47 329.92 104.73 93
48 336.60 76.02 67
49 403.10 399.64 41
50 387.17 368.88 54
51 357.97 111.58 38
52 355.67 129.16 45
53 345.61 87.16 36
54 355.13 80.20 15
55 360.09 97.94 22
56 332.50 64.88 6
57 314.75 25.06 8
58 293.77 44.28 13
59 344.25 56.27 4
60 421.00 154.41 4
61 334.00 0.00 1
63 345.00 0.00 1
