# len mean stddev nelemen
2 282.78 151.15 18
3 313.91 357.08 226
4 321.44 661.39 294
5 307.33 542.50 338
6 297.22 323.57 633
7 274.62 260.85 887
8 364.08 1085.31 678
9 411.63 888.15 662
10 435.18 672.55 702
11 438.70 619.84 770
12 600.61 1113.45 726
13 672.04 623.59 590
14 723.05 707.17 792
15 805.58 744.71 749
16 846.13 796.86 666
17 868.80 833.59 716
18 853.81 606.07 648
19 924.20 905.77 604
20 886.92 685.33 608
21 903.14 712.60 559
22 950.97 1265.31 475
23 889.99 731.93 424
24 839.34 582.60 357
25 893.52 648.37 338
26 813.30 794.25 292
27 949.38 1183.79 260
28 788.71 774.04 234
29 712.40 646.34 209
30 569.58 678.51 240
31 556.86 785.45 205
32 508.27 508.46 180
33 431.29 339.66 196
34 425.29 415.57 196
35 448.69 493.13 188
36 557.97 1978.49 155
37 390.68 445.30 164
38 359.54 430.74 134
39 370.77 322.62 149
40 356.76 275.05 115
41 332.11 144.27 140
42 421.49 469.54 75
43 380.20 391.92 111
44 384.26 405.34 81
45 305.25 78.31 138
46 326.69 117.26 104
47 316.11 100.96 93
48 332.27 102.60 67
49 389.66 401.70 41
50 341.24 118.87 54
51 316.50 124.31 38
52 615.36 1450.84 45
53 325.06 105.03 36
54 327.27 68.73 15
55 371.64 92.93 22
56 370.67 128.18 6
57 356.75 81.91 8
58 346.31 89.58 13
59 315.75 53.39 4
60 371.00 101.17 4
61 287.00 0.00 1
63 310.00 0.00 1
