# cutoff: 0.80
# len mean stddev nelemen
2 55.15 8.79 80
3 47.45 11.13 546
4 47.92 9.20 850
5 61.58 7.14 2498
6 53.68 8.17 5881
7 58.17 9.86 6501
8 39.80 3.40 5366
9 48.94 2.65 5473
10 47.12 3.82 6860
11 50.94 4.33 4930
12 45.36 3.78 6979
13 51.20 2.32 7494
14 47.61 3.39 9142
15 53.72 2.97 8483
16 40.74 3.15 7319
17 49.83 3.04 6182
18 47.48 3.91 5789
19 51.75 3.42 4942
20 46.20 2.12 3750
21 52.17 2.18 4706
22 48.69 3.16 4447
23 54.42 2.15 2050
24 58.24 6.08 2702
25 66.13 6.65 1638
26 63.58 6.68 1521
27 68.87 5.88 1536
28 62.15 6.24 953
29 64.79 8.07 765
30 62.04 7.47 584
31 65.79 8.54 519
32 49.54 10.64 415
33 51.75 9.62 427
34 50.30 8.17 346
35 52.85 7.45 316
36 48.60 5.60 250
37 52.79 8.01 318
38 52.29 7.87 234
39 63.21 8.94 257
40 47.49 6.04 186
41 56.87 8.42 248
42 58.87 7.39 124
43 62.07 7.31 178
44 54.64 5.34 130
45 52.82 7.69 221
46 55.99 6.45 166
47 68.68 8.77 149
48 50.31 7.36 107
49 62.61 8.03 66
50 55.47 7.14 86
51 64.74 7.60 61
52 53.12 6.70 72
53 55.74 5.95 58
54 59.46 4.63 24
55 63.00 10.05 35
56 59.00 7.97 10
57 63.62 9.96 13
58 52.57 8.57 21
59 66.83 6.01 6
60 65.33 6.62 6
61 84.00 26.00 2
63 77.00 4.00 2
