# cutoff: 0.80
# len mean stddev nelemen
2 37.04 2.61 80
3 42.90 3.51 546
4 44.63 2.88 850
5 46.94 2.07 2498
6 48.94 2.74 5881
7 51.48 3.95 6501
8 54.17 3.92 5366
9 57.30 3.66 5473
10 58.33 4.73 6860
11 60.86 4.34 4930
12 61.53 5.02 6979
13 62.66 5.37 7494
14 62.25 5.89 9142
15 66.16 7.35 8483
16 72.69 3.85 7319
17 74.62 4.74 6182
18 77.67 5.51 5789
19 79.20 5.92 4942
20 81.59 6.19 3750
21 81.74 6.47 4706
22 83.07 6.58 4447
23 85.69 6.57 2050
24 88.35 7.06 2702
25 91.50 7.47 1638
26 93.48 7.78 1521
27 95.15 7.48 1536
28 98.73 7.82 953
29 101.57 8.81 765
30 101.67 7.53 584
31 103.67 7.01 519
32 104.64 5.71 415
33 106.71 5.73 427
34 107.24 4.12 346
35 109.05 3.31 316
36 111.44 3.20 250
37 113.98 3.50 318
38 116.65 3.93 234
39 118.00 2.50 257
40 120.18 2.06 186
41 122.64 2.50 248
42 124.74 2.10 124
43 126.94 2.05 178
44 129.37 1.57 130
45 131.39 1.83 221
46 134.08 2.06 166
47 136.42 1.77 149
48 138.93 1.29 107
49 141.83 1.83 66
50 143.63 1.68 86
51 146.03 1.43 61
52 148.31 0.78 72
53 151.62 1.45 58
54 153.12 1.36 24
55 155.20 1.21 35
56 157.60 0.92 10
57 160.38 1.50 13
58 163.71 1.67 21
59 164.83 0.90 6
60 168.67 1.80 6
61 172.50 1.50 2
63 175.50 1.50 2
