# cutoff: 0.80
# len mean stddev nelemen
2 65.19 8.80 80
3 57.62 13.17 546
4 55.09 9.37 850
5 66.10 9.28 2498
6 68.53 7.93 5881
7 62.34 7.74 6501
8 54.27 6.19 5366
9 63.37 8.63 5473
10 70.14 8.23 6860
11 71.24 8.31 4930
12 56.32 4.64 6979
13 60.54 6.95 7494
14 63.23 6.81 9142
15 61.95 7.37 8483
16 59.01 3.76 7319
17 68.53 7.40 6182
18 76.05 3.79 5789
19 74.71 5.12 4942
20 64.53 4.72 3750
21 68.57 7.05 4706
22 71.22 8.32 4447
23 74.18 8.91 2050
24 73.04 6.24 2702
25 79.97 10.46 1638
26 88.80 10.50 1521
27 87.71 9.72 1536
28 84.50 8.52 953
29 84.36 11.64 765
30 95.25 13.79 584
31 83.29 12.32 519
32 83.74 10.97 415
33 85.91 11.24 427
34 88.19 12.34 346
35 88.18 9.84 316
36 80.80 6.26 250
37 87.70 9.65 318
38 92.25 10.56 234
39 93.95 7.81 257
40 85.69 7.04 186
41 89.49 9.91 248
42 94.54 9.69 124
43 94.15 6.18 178
44 87.98 5.85 130
45 88.76 6.85 221
46 93.45 8.60 166
47 98.88 10.83 149
48 94.88 7.84 107
49 101.97 10.91 66
50 102.76 10.02 86
51 103.61 9.74 61
52 93.72 3.85 72
53 101.93 9.06 58
54 109.83 9.52 24
55 100.74 8.08 35
56 114.30 6.36 10
57 117.23 9.92 13
58 110.24 8.63 21
59 123.33 9.71 6
60 110.83 9.28 6
61 140.50 4.50 2
63 148.50 12.50 2
