# cutoff: 0.80
# len mean stddev nelemen
2 55.29 6.51 80
3 49.82 11.35 546
4 50.06 11.17 850
5 63.72 9.03 2498
6 58.77 5.48 5881
7 58.26 6.68 6501
8 49.70 7.43 5366
9 58.10 8.47 5473
10 58.40 6.76 6860
11 63.21 7.44 4930
12 51.63 5.94 6979
13 56.87 7.12 7494
14 58.09 4.80 9142
15 57.78 5.61 8483
16 53.76 4.20 7319
17 62.80 6.32 6182
18 62.19 4.64 5789
19 65.78 5.05 4942
20 62.68 6.34 3750
21 66.90 6.97 4706
22 66.41 5.57 4447
23 73.12 6.31 2050
24 66.26 5.95 2702
25 77.50 9.01 1638
26 74.83 7.68 1521
27 75.05 8.05 1536
28 75.35 8.78 953
29 80.66 10.54 765
30 78.65 9.36 584
31 78.35 8.97 519
32 78.95 10.26 415
33 82.07 9.12 427
34 79.50 7.28 346
35 80.59 6.57 316
36 78.38 6.37 250
37 84.92 7.88 318
38 84.28 6.32 234
39 86.83 6.55 257
40 82.44 5.90 186
41 87.57 6.52 248
42 88.29 6.64 124
43 88.04 5.35 178
44 85.67 4.52 130
45 89.38 4.13 221
46 88.70 3.30 166
47 90.44 4.03 149
48 90.63 4.20 107
49 98.82 6.63 66
50 96.74 4.58 86
51 98.46 6.07 61
52 94.69 2.95 72
53 103.07 5.70 58
54 101.83 4.50 24
55 101.91 4.27 35
56 118.50 13.40 10
57 108.77 6.81 13
58 107.81 7.04 21
59 116.00 5.74 6
60 119.00 5.74 6
61 134.00 0.00 2
63 128.00 6.00 2
