# len mean stddev nelemen
2 249.33 145.94 73
3 225.67 112.30 344
4 225.41 112.29 622
5 180.78 61.57 2618
6 201.69 128.23 6410
7 212.76 83.57 6808
8 214.57 138.93 5718
9 225.54 330.39 5900
10 204.03 131.42 7590
11 236.87 350.05 5104
12 210.33 98.76 7784
13 206.42 97.58 8660
14 211.78 88.46 10497
15 226.06 432.30 9769
16 244.13 285.47 8422
17 238.81 109.55 6957
18 242.71 104.76 6559
19 255.79 326.23 5551
20 238.93 134.69 4059
21 240.79 113.08 5313
22 232.86 110.51 5075
23 273.63 145.55 2132
24 265.82 117.34 3016
25 281.82 125.19 1707
26 276.45 125.68 1607
27 281.80 593.22 1660
28 288.76 157.83 957
29 311.90 931.03 747
30 309.54 166.36 490
31 273.04 123.76 444
32 311.48 156.10 339
33 283.89 161.89 338
34 296.68 126.00 237
35 295.75 119.70 207
36 311.30 158.25 158
37 287.16 126.89 233
38 279.91 104.32 159
39 274.02 94.51 172
40 282.38 113.22 117
41 291.11 124.36 170
42 275.93 87.32 80
43 302.50 192.35 111
44 276.98 129.92 81
45 283.73 96.08 138
46 272.09 102.70 104
47 286.24 101.15 93
48 295.03 95.96 67
49 319.80 156.03 41
50 301.46 124.87 54
51 284.21 90.67 38
52 296.84 123.23 45
53 301.89 107.44 36
54 303.60 92.90 15
55 339.41 113.30 22
56 336.67 115.61 6
57 322.50 118.46 8
58 362.08 189.29 13
59 330.50 121.86 4
60 329.25 133.95 4
61 278.00 0.00 1
63 458.00 0.00 1
