# len mean stddev nelemen
2 181.08 89.45 73
3 216.88 123.36 344
4 205.35 106.15 622
5 169.69 60.02 2618
6 189.35 65.61 6410
7 204.25 76.82 6808
8 211.92 128.46 5718
9 215.87 318.49 5900
10 192.55 81.11 7590
11 233.92 106.12 5104
12 216.82 97.87 7784
13 209.10 86.74 8660
14 219.78 93.89 10497
15 223.77 152.41 9769
16 233.42 101.78 8422
17 232.66 304.05 6957
18 241.82 105.55 6559
19 246.32 107.03 5551
20 251.86 127.98 4059
21 242.60 347.95 5313
22 244.61 358.11 5075
23 284.18 536.37 2132
24 261.73 118.10 3016
25 267.28 134.24 1707
26 281.24 138.29 1607
27 254.65 107.93 1660
28 284.42 140.66 957
29 284.42 148.07 747
30 324.01 145.87 490
31 298.55 134.19 444
32 349.98 163.37 339
33 314.11 150.46 338
34 327.17 122.70 237
35 330.79 122.65 207
36 342.36 146.29 158
37 323.18 148.94 233
38 320.26 129.12 159
39 318.19 110.11 172
40 334.13 127.92 117
41 344.04 102.63 170
42 310.30 66.30 80
43 351.10 137.60 111
44 344.14 88.43 81
45 338.04 98.34 138
46 341.16 97.07 104
47 343.32 100.72 93
48 410.55 168.05 67
49 353.27 100.13 41
50 389.74 101.67 54
51 368.97 103.80 38
52 369.16 94.75 45
53 402.14 117.40 36
54 417.20 148.43 15
55 415.45 148.11 22
56 408.33 83.35 6
57 335.38 42.90 8
58 442.15 138.34 13
59 377.25 77.35 4
60 426.25 79.41 4
61 351.00 0.00 1
63 444.00 0.00 1
