# len mean stddev nelemen
2 215.10 85.19 73
3 244.62 103.92 344
4 246.93 114.14 622
5 210.45 72.24 2618
6 229.25 86.63 6410
7 230.91 87.59 6808
8 238.84 347.01 5718
9 227.86 100.19 5900
10 234.38 352.69 7590
11 272.38 376.90 5104
12 231.26 110.33 7784
13 227.42 178.30 8660
14 244.07 261.54 10497
15 244.21 121.21 9769
16 262.12 122.36 8422
17 276.36 123.22 6957
18 279.56 134.46 6559
19 291.59 353.36 5551
20 298.22 148.66 4059
21 272.79 130.97 5313
22 273.39 128.19 5075
23 314.46 167.68 2132
24 293.52 136.72 3016
25 318.80 167.57 1707
26 308.15 162.43 1607
27 306.32 142.66 1660
28 311.61 148.41 957
29 328.28 322.70 747
30 330.01 162.87 490
31 307.36 126.74 444
32 349.40 163.06 339
33 321.07 170.69 338
34 362.76 162.99 237
35 352.69 174.05 207
36 331.04 168.75 158
37 315.45 130.85 233
38 311.43 108.07 159
39 329.70 152.18 172
40 305.38 102.62 117
41 332.05 126.41 170
42 354.77 131.90 80
43 307.73 88.04 111
44 316.48 101.98 81
45 313.24 115.95 138
46 325.77 117.64 104
47 322.31 106.55 93
48 330.25 159.00 67
49 345.46 91.06 41
50 378.78 185.61 54
51 363.95 109.59 38
52 368.33 132.11 45
53 357.69 107.71 36
54 347.87 72.33 15
55 369.23 90.40 22
56 323.33 66.99 6
57 364.75 81.05 8
58 372.00 138.18 13
59 381.50 142.87 4
60 364.75 100.32 4
61 227.00 0.00 1
63 281.00 0.00 1
