# len mean stddev nelemen
2 233.22 79.97 73
3 244.42 115.82 344
4 233.48 123.90 622
5 200.04 73.26 2618
6 232.51 73.48 6410
7 213.93 75.91 6808
8 228.12 91.47 5718
9 229.70 95.50 5900
10 215.53 80.65 7590
11 247.17 96.78 5104
12 227.53 288.82 7784
13 206.29 278.49 8660
14 234.78 99.92 10497
15 242.08 325.57 9769
16 249.81 134.12 8422
17 259.86 114.97 6957
18 262.31 111.27 6559
19 268.15 113.73 5551
20 276.93 141.36 4059
21 249.81 116.60 5313
22 255.36 104.44 5075
23 290.92 140.06 2132
24 287.16 123.12 3016
25 307.25 138.10 1707
26 298.28 152.12 1607
27 280.65 124.17 1660
28 301.00 145.44 957
29 299.72 138.73 747
30 324.10 148.17 490
31 297.96 140.54 444
32 331.53 137.00 339
33 324.25 143.29 338
34 340.28 159.37 237
35 318.48 110.90 207
36 328.01 124.23 158
37 315.31 156.95 233
38 329.66 130.18 159
39 300.09 83.24 172
40 329.89 142.56 117
41 330.66 113.07 170
42 294.98 89.89 80
43 313.73 83.56 111
44 330.72 118.45 81
45 321.94 114.38 138
46 332.52 167.45 104
47 308.47 101.77 93
48 352.67 107.76 67
49 363.68 153.02 41
50 371.52 142.35 54
51 359.03 118.05 38
52 358.04 114.81 45
53 344.86 109.00 36
54 385.87 125.24 15
55 356.45 141.57 22
56 314.33 32.53 6
57 433.75 146.54 8
58 339.54 115.28 13
59 560.50 207.00 4
60 394.25 69.58 4
61 267.00 0.00 1
63 357.00 0.00 1
